"Little Dark Age, MGMT - Little Dark Age.wav"
"Xtal, Aphex Twin - Xtal.wav"
"Worth it, beabadoobee - Worth it.wav"
"Change Your Mind, CASTLEBEAT - Change Your Mind.wav"
"Part, CASTLEBEAT - Part.wav"
"Feels Like Summer, Childish Gambino - Feels Like Summer.wav"
"Pretty Girl, Clairo - Pretty Girl.wav"
"Take A Slice, Glass Animals - Take A Slice.wav"
"Interlude, Izaya Tiji - Interlude.wav"
"After The Storm, Kali Uchis - After The Storm.wav"
"velvet, Lilac - velvet.wav"
"Randomly, Lucki - Randomly.wav"
"Chamber of Reflection, Mac DeMarco - Chamber of Reflection.wav"
"Show Me How, Men I Trust - Show Me How.wav"
"Little Dark Age, MGMT - Little Dark Age.wav"
"Cocoon, Milky Chance - Cocoon.wav"
"Shook Ones Pt. II, Mobb Deep - Shook Ones Pt. II.wav"
"Break It Off, Pink Pantheress - Break It Off.wav"
"ERROR, Plastic Girl In Closet - ERROR.wav"
"Ryd, Steve Lacy - Ryd.wav"
"Goodie Bag, Still Woozy - Goodie Bag.wav"
"Hi, Temporex - Hi.wav"
"Come Over, The Internet - Come Over.wav"
"Sweater Weather, The Neighbourhood - Sweater Weather.wav"
"911, Tyler The Creator - 911.wav"
"OKRA, Tyler The Creator - OKRA.wav"
"Remember When, Wallows - Remember When.wav"
"Heart Stop, Weiland - Heart Stop.wav"
"Tried 2 T�ll U, Yeat - Tried 2 T�ll U.wav"
"Tru to U, Yeat - Tru to U.wav"
"soon, yuragi - soon.wav"
